p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.625,20000,0.9934732421875,0.99384202724797,0.99310445712703,0.00018815910056455777,0.9997,0.9998625002862812,0.9993455788792479,19994,0.92803125,0.9287093048562866,0.9273531951437134,0.0003459527122105408,0.9988,0.9991934383311308,0.9982149864992992,19976,0.9290125,0.9296745476774467,0.9283504523225533,0.00033778563415905096,0.9989,0.9992734332768094,0.9983349531464094,19978
0.65,20000,0.995262890625,0.9954629140179554,0.9950628672320445,0.00010205462678558885,0.9999,0.9999725759647273,0.9996354263863794,19998,0.933671875,0.9340480526710409,0.9332956973289592,0.00019193090995962232,0.99965,0.9998304468224045,0.9992776515467302,19993,0.934490625,0.9348401621037112,0.9341410878962888,0.0001783385340079489,0.99975,0.9998932103654561,0.9994148495964674,19995
0.675,20000,0.9958765625,0.9959144325106901,0.9958386924893099,1.932178906798169e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.935809375,0.9360116280645405,0.9356071219354596,0.00010319223523278952,0.99995,0.9999911737177268,0.9997168094297738,19999,0.936421875,0.9365745162157192,0.9362692337842807,7.787960234131779e-05,1.0,0.9999999999999999,0.9998079639438954,20000
0.7000000000000001,20000,0.99601484375,0.9960404375597682,0.9959892499402319,1.3058306157699772e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.936778125,0.9369081046461859,0.9366481453538141,6.631736461034315e-05,0.99995,0.9999911737177268,0.9997168094297738,19999,0.93715,0.9372228269127912,0.9370771730872088,3.7157270932337814e-05,1.0,0.9999999999999999,0.9998079639438954,20000
0.7250000000000001,20000,0.9960638671875,0.9960688559820274,0.9960588783929725,2.5453501017404783e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9371125,0.9371837274540553,0.9370412725459447,3.6341205561470884e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.9374125,0.9374448879728737,0.9373801120271262,1.6524779602676875e-05,1.0,0.9999999999999999,0.9998079639438954,20000
0.75,20000,0.99607578125,0.9960795627340543,0.9960719997659456,1.9293640516415146e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.937253125,0.9373074579250101,0.9371987920749899,2.772138949422493e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.9374625,0.9374837113966806,0.9374412886033193,1.0822340026638538e-05,1.0,0.9999999999999999,0.9998079639438954,20000
0.775,20000,0.996084375,0.9960870240357943,0.9960817259642057,1.351573710096749e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9373625,0.9374030842064338,0.9373219157935662,2.0706608261163488e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.9374875,0.9374997488560899,0.9374752511439102,6.249531208980125e-06,1.0,0.9999999999999999,0.9998079639438954,20000
0.8,20000,0.9960892578125,0.9960910926729627,0.9960874229520373,9.361704996565602e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.93743125,0.9374599631815738,0.9374025368184263,1.4649851630055477e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.937496875,0.9375029998874517,0.9374907501125483,3.1249999999999993e-06,1.0,0.9999999999999999,0.9998079639438954,20000
0.8250000000000001,20000,0.9960912109375,0.996092590748085,0.996089831126915,7.039979284532504e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.937459375,0.9374814519693593,0.9374372980306407,1.1263966855252007e-05,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.8500000000000001,20000,0.996092578125,0.9960935156858388,0.9960916405641611,4.783561566629509e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.93748125,0.9374962509734215,0.9374662490265786,7.653698506607215e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.875,20000,0.99609296875,0.9960937343035056,0.9960922031964944,3.905957005612579e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.9374875,0.9374997488560899,0.9374752511439102,6.249531208980126e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.9,20000,0.996093359375,0.9960939007301464,0.9960928180198536,2.7620668062972335e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.93749375,0.9375024116823412,0.9374850883176589,4.4193068900755735e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.925,20000,0.9960935546875,0.9960939374929658,0.9960931718820343,1.9531249999999998e-07,1.0,0.9999999999999999,0.9998079639438954,20000,0.937496875,0.9375029998874517,0.9374907501125483,3.1249999999999997e-06,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.9500000000000001,20000,0.99609375,0.99609375,0.99609375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
0.9750000000000001,20000,0.99609375,0.99609375,0.99609375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
1.0,20000,0.99609375,0.99609375,0.99609375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000,0.9375,0.9375,0.9375,0.0,1.0,0.9999999999999999,0.9998079639438954,20000
