p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.275,20000,0.069325,0.07187067111224152,0.06677932888775848,0.0012988356583699774,0.1283,0.13300627318581087,0.12373648641829726,2566,0.025875,0.027410078389775976,0.02433992161022402,0.0007832176518979334,0.05175,0.05490707204380998,0.04876508828048782,1035,0.048625,0.050678253201688284,0.04657174679831172,0.0010475974139749907,0.09725,0.10143408031684904,0.09322060472634323,1945
0.30000000000000004,20000,0.0931875,0.09610869091419764,0.09026630908580237,0.0014904309146696706,0.169,0.1742571553756695,0.16386997249347174,3380,0.036225,0.038021394906279156,0.034428605093720845,0.0009165448551345283,0.07245,0.0761253981794209,0.06893881185215417,1449,0.06565,0.06799035225162595,0.06330964774837405,0.0011940792127234745,0.1313,0.13605147728360967,0.12669013010416186,2626
0.325,20000,0.1209375,0.12420170129776902,0.11767329870223099,0.0016654394282326678,0.2162,0.22195931637063848,0.2105496832948065,4324,0.048125,0.05016880039805136,0.04608119960194864,0.0010427744663537672,0.09625,0.1004153760396197,0.0922396930756848,1925,0.08565,0.08826090641955055,0.08303909358044946,0.0013321195900256504,0.1713,0.17658468469311614,0.166141559810167,3426
0.35000000000000003,20000,0.1549,0.15849576228076231,0.1513042377192377,0.001834606303547017,0.27285,0.2790663358633333,0.266720906116955,5457,0.063725,0.06603588874020082,0.06141411125979919,0.001179046532706116,0.12745,0.13214331494384549,0.12289977112155806,2549,0.10965,0.11251731469635103,0.10678268530364897,0.001462942543316125,0.2193,0.22508809327728296,0.21361971576461414,4386
0.375,20000,0.19045,0.19432406489235157,0.18657593510764844,0.001976600041077132,0.32975,0.33629759289788846,0.3232677953792152,6595,0.080625,0.08317347327355903,0.07807652672644097,0.0013002653587826456,0.16125,0.16641179708915466,0.15621830733885622,3225,0.1354,0.13847936816145837,0.13232063183854162,0.0015711350748013882,0.2708,0.277002162950228,0.2646858663778903,5416
0.4,20000,0.23015,0.234253898795108,0.226046101204892,0.002093864391120977,0.3921,0.39888634563373987,0.3853550957471675,7842,0.1011,0.10388324569998812,0.09831675430001187,0.0014200494100616184,0.2022,0.20782329987270318,0.1966910768023127,4044,0.16315,0.16639904529375374,0.15990095470624624,0.001657706631030873,0.3263,0.3328307464726696,0.3198359668532212,6526
0.42500000000000004,20000,0.2741,0.278372040184563,0.269827959815437,0.002179652390686922,0.45995,0.4668642854916914,0.4530510965964026,9199,0.1245,0.12749663327180447,0.12150336672819553,0.001528922620742793,0.249,0.25504093613489437,0.24305546596527014,4980,0.193725,0.19710092321333905,0.19034907678666096,0.0017224414529898972,0.38745,0.39422267757097884,0.3807205497452504,7749
0.45,20000,0.319375,0.32375044879308024,0.3149995512069198,0.0022324128543142743,0.5268,0.5337137487600014,0.5198759581073915,10536,0.150725,0.15390495041261082,0.14754504958738918,0.0016224534928671536,0.30145,0.3078473742126835,0.2951288833051957,6029,0.224625,0.22807195212072445,0.22117804787927553,0.0017586813573685933,0.44925,0.4561528226568241,0.44236666900287047,8985
0.47500000000000003,20000,0.3651125,0.36952706730351575,0.36069793269648426,0.0022523716447533262,0.591,0.5977956788218781,0.5841693706159108,11820,0.17885,0.18217156217500022,0.1755284378249998,0.0016947057196970274,0.3577,0.3643697033375302,0.35108495012403723,7154,0.255875,0.25933888932033416,0.2524111106796659,0.0017673229445320721,0.51175,0.5186746841809373,0.5048208029717443,10235
0.5,20000,0.4113375,0.41570921518242765,0.4069657848175724,0.0022305079159163836,0.6546,0.6611596974601753,0.647980924991277,13092,0.20835,0.21176642344560406,0.20493357655439595,0.0017431052165000792,0.4167,0.4235480353071209,0.4098839578998262,8334,0.287025,0.2904516372138783,0.28359836278612166,0.0017483164185195322,0.57405,0.5808882395257756,0.5671833199343151,11481
