p,exact_x_error,exact_x_class,exact_x_saved_by_stabilizers,exact_x_class_component_norm,exact_x_class_component_norm_dp,scaled_exact_x_class_component_norm_dp
0.31,16.643204657636357,0.9995242108779223,15.643680446758434,0.024378639289705423,0.0006733099511261629,0.0035037782149741035
0.32,17.095902806152523,0.9997377911706948,16.09616501498183,0.024383848565138897,0.0003912877268937014,0.002036187659166196
0.33,17.52323429815598,0.9998601644388643,16.523374133717116,0.02438683327899669,0.00022032207207680295,0.0011465145808843226
0.34,17.92520043757154,0.9999280406621622,16.925272396909378,0.024388488796638103,0.00011993392170462886,0.0006241135474119087
0.35000000000000003,18.301853526618068,0.999964397020932,17.301889129597136,0.0243893755370959,6.29358365530867e-05,0.00032750624387334635
0.36,18.653284157935836,0.9999831415015379,17.6533010164343,0.024389832719549705,3.171692787833791e-05,0.00016504892102092538
0.37,18.979610446922166,0.9999924048459903,17.979618042076176,0.02439005865478025,1.5275096012398805e-05,7.948872365596777e-05
0.38,19.280968963405456,0.9999967687657794,18.280972194639677,0.024390165091848277,6.985200886659613e-06,3.63496702417068e-05
0.39,19.557507142751156,0.9999987144800926,18.557508428271063,0.024390212548294942,3.0074461499049533e-06,1.565018352264074e-05
0.4,19.809376977920476,0.99999952781533,18.809377450105146,0.024390232385739754,1.205482310206736e-06,6.2731029743054885e-06
0.41000000000000003,20.036729814852652,0.9999998425837653,19.036729972268887,0.024390240063018667,4.4309534115811027e-07,2.3057847294691186e-06
0.42,20.239712093171274,0.9999999534684427,19.23971213970283,0.024390242767522993,1.4627449577467513e-07,7.611849354734918e-07
0.43,20.418461892334207,0.9999999881997219,19.418461904134485,0.024390243614627365,4.2108563940590754e-08,2.1912503855336681e-07
0.44,20.57310615993944,0.9999999975541094,19.57310616238533,0.024390243842783155,1.0120995081315092e-08,5.26677528238806e-08
0.45,20.70375851413167,0.9999999996157172,19.703758514515954,0.024390243893066273,1.898182678112652e-09,9.877785267376956e-09
0.46,20.810517526189173,0.9999999999596554,19.810517526229518,0.02439024390145501,2.479508817100595e-10,1.2902897042680729e-09
0.47000000000000003,20.893465402699682,0.999999999997776,19.893465402701906,0.02439024390238478,1.8225601414246756e-11,9.484259824651452e-11
0.48,20.952666999525476,0.9999999999999538,19.952666999525523,0.024390243902437898,4.6691969396575e-13,2.429762175834862e-12
0.49,20.988169112234864,0.9999999999999964,19.988169112234868,0.02439024390243894,9.02563931452128e-16,4.696772764688855e-15
0.5,21.0,1.0,20.0,0.024390243902439025,0.0,0.0
