p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.5175,0.515,0.52,0.86,7.747049815331951e-05,0.0012070984595982334,0.00014251591718183166,9.889364781873605e-07,13.39999999999999,1.5820691966355132,0.86,13.39999999999999,1.5820691966355132,0.010978183844357888,3.873524907665976e-05,0.0006035492297991167,7.125795859091583e-05,4.944682390936802e-07,0.010978183844357888,1000
0.52,0.5175,0.5225,0.883,7.954238356904784e-05,0.000990901720565714,0.00012995182946832164,9.160695255124171e-07,10.999999999999991,1.4425952589278386,0.883,10.999999999999991,1.4425952589278386,0.010169287802713343,3.977119178452392e-05,0.000495450860282857,6.497591473416082e-05,4.5803476275620856e-07,0.010169287802713343,1000
0.5225,0.52,0.525,0.915,8.24250067561481e-05,0.0009728853256463373,0.00012883314154212174,7.948316698443669e-07,10.79999999999999,1.4301767042590934,0.915,10.79999999999999,1.4301767042590934,0.008823426366942317,4.121250337807405e-05,0.00048644266282316865,6.441657077106087e-05,3.9741583492218345e-07,0.008823426366942317,1000
0.525,0.5225,0.5275,0.937,8.440681019727952e-05,0.0005224754526619219,9.565193560502557e-05,6.924608482376778e-07,5.799999999999995,1.0618321371513888,0.937,5.799999999999995,1.0618321371513888,0.007687007876286461,4.220340509863976e-05,0.00026123772633096097,4.782596780251278e-05,3.462304241188389e-07,0.007687007876286461,1000
0.5275,0.525,0.53,0.944,8.50373840194577e-05,0.0004504098729844154,8.89933306854966e-05,6.552924494817672e-07,4.999999999999996,0.9879149639396978,0.944,4.999999999999996,0.9879149639396978,0.007274401481697097,4.251869200972885e-05,0.0002252049364922077,4.44966653427483e-05,3.276462247408836e-07,0.007274401481697097,1000
0.53,0.5275,0.5325,0.962,8.66588595622016e-05,0.0005044590577425453,9.403668200000137e-05,5.449221827389404e-07,5.599999999999995,1.0439012068820153,0.962,5.599999999999995,1.0439012068820153,0.0060491811505849775,4.33294297811008e-05,0.00025222952887127265,4.701834100000069e-05,2.724610913694702e-07,0.0060491811505849775,1000
0.5325,0.53,0.535,0.972,8.755967930817043e-05,0.00034231150346815577,7.782093654464659e-05,4.7018341000000733e-07,3.799999999999997,0.8638902165821217,0.972,3.799999999999997,0.8638902165821217,0.005219506034410081,4.3779839654085215e-05,0.00017115575173407788,3.8910468272323294e-05,2.3509170500000367e-07,0.005219506034410081,1000
0.535,0.5325,0.5375,0.981,8.837041707954238e-05,0.00019818034411314282,5.945380265936056e-05,3.8910468272323336e-07,2.1999999999999984,0.6599966633215616,0.981,2.1999999999999984,0.6599966633215616,0.0043194510829106135,4.418520853977119e-05,9.909017205657141e-05,2.972690132968028e-05,1.9455234136161668e-07,0.0043194510829106135,1000
0.5375,0.535,0.54,0.983,8.855058102873615e-05,0.00012611476443563632,4.752354105474784e-05,3.684311764425785e-07,1.3999999999999988,0.5275588292487557,0.983,1.3999999999999988,0.5275588292487557,0.004089954489689063,4.4275290514368074e-05,6.305738221781816e-05,2.376177052737392e-05,1.8421558822128924e-07,0.004089954489689063,1000
0.54,0.5375,0.5425,0.988,8.900099090172056e-05,0.00012611476443563632,4.752354105474784e-05,3.1033034808574185e-07,1.3999999999999988,0.5275588292487557,0.988,1.3999999999999988,0.5275588292487557,0.0034449771940998205,4.450049545086028e-05,6.305738221781816e-05,2.376177052737392e-05,1.5516517404287093e-07,0.0034449771940998205,1000
0.5425,0.54,0.545,0.99,8.918115485091433e-05,5.4049184758129853e-05,3.117405917209156e-05,2.835781405888464e-07,0.5999999999999995,0.3460632308693884,0.99,0.5999999999999995,0.3460632308693884,0.0031480009386767836,4.4590577425457165e-05,2.7024592379064927e-05,1.558702958604578e-05,1.417890702944232e-07,0.0031480009386767836,1000
0.545,0.5425,0.5475,0.991,8.927123682551122e-05,7.206557967750647e-05,3.597864587152011e-05,2.691616830143836e-07,0.7999999999999993,0.3993989478197448,0.991,0.7999999999999993,0.3993989478197448,0.002987963843142672,4.463561841275561e-05,3.6032789838753236e-05,1.7989322935760056e-05,1.345808415071918e-07,0.002987963843142672,1000
